"","TEXT71","PSU","CASENO","STRATIF","LINENO","CASEID","VERSION"
"1","V1 and V2 were traveling south, V2 ahead of V1.V2 stopped for traffic.  V1",2,1,"G",1,"  1G",20
"2","swerved to the right and the back of V2 was swiped by the front of V1.  V1",2,1,"G",2,"  1G",20
"3","continued to curve to the right and the front of V1 struck a parked vehicle",2,1,"G",3,"  1G",20
"4","(V3), which was facing west in a parking lot.  V3 was pushed forward and the",2,1,"G",4,"  1G",20
"5","front of V3 struck the back of V4, which was also parked in the lot ahead of V3.",2,1,"G",5,"  1G",20
"6","Vehicle 1 was traveling south on an undivided two-lane road. V2 was traveling in",2,2,"D",1,"  2D",20
"7","the same direction ahead of V1 on the same roadway. V2 stopped to make a left",2,2,"D",2,"  2D",20
"8","turn at a driveway. The back of V2 was contacted by the front of V1. V2 was",2,2,"D",3,"  2D",20
"9","propelled partially into the northbound lane. Both vehicles came to final rest",2,2,"D",4,"  2D",20
"10","in the roadway.",2,2,"D",5,"  2D",20
"11","V1 traveling east when it lost control on snow/ice covered roadway and went off",2,3,"G",1,"  3G",20
"12","the right side of the roadway.  V1 continued and struck a metal guardrail end",2,3,"G",2,"  3G",20
"13","with its front.  V1 continued up the guardrail and rolled over 3/4 turns to the",2,3,"G",3,"  3G",20
"14","right down a small embankment and came to rest facing east on its left side.",2,3,"G",4,"  3G",20
"15","V1 was traveling south approaching an intersection intending to turn left.  V3",2,4,"F",1,"  4F",20
"16","was behind V1 traveling in the same direction.  V2 was traveling north",2,4,"F",2,"  4F",20
"17","approaching the same intersection.  V1's right side and the front of V2",2,4,"F",3,"  4F",20
"18","impacted.  V2 continued through the intersection, crossed the centerline and",2,4,"F",4,"  4F",20
"19","contacted V3 in the left side with its front.",2,4,"F",5,"  4F",20
"20","Vehicle 1 was traveling north negotiating a left curve on an upgrade.  V1 went",2,5,"H",1,"  5H",20
"21","off the right side of the road into a drainage ditch.  The front left of vehicle",2,5,"H",2,"  5H",20
"22","1 struck the far side of the ditch.  V1 rotated clockwise and the undercarriage",2,5,"H",3,"  5H",20
"23","then scraped the top of a concrete culvert headwall.  V1 continued to rotate",2,5,"H",4,"  5H",20
"24","clockwise and overturned on to it's left side.  V1 came to rest off the right",2,5,"H",5,"  5H",20
"25","side of the road on its left side.",2,5,"H",6,"  5H",20
"26","Vehicle 1 was traveling south negotiating a sharp left curve on an upgrade.  The",2,6,"H",1,"  6H",20
"27","driver lost control due to sand and salt on the roadway.  V1 went off the right",2,6,"H",2,"  6H",20
"28","side of the road.  The front of V1 struck a 9 cm diameter tree, which uprooted",2,6,"H",3,"  6H",20
"29","the tree.",2,6,"H",4,"  6H",20
"30","Vehicle 1 was traveling north on an undivided two-lane road. V1 went off the",2,7,"E",1,"  7E",20
"31","right side of the road.  The front of vehicle 1 struck the down turned end of a",2,7,"E",2,"  7E",20
"32","guardrail. The vehicle mounted the guardrail and continued to travel north.  The",2,7,"E",3,"  7E",20
"33","vehicle crossed a stream, dismounted the guardrail and the left side of the",2,7,"E",4,"  7E",20
"34","vehicle swiped the guardrail.  The front of V1 struck the ground and the vehicle",2,7,"E",5,"  7E",20
"35","continued to travel northbound. The front of V1 swiped a 36 cm diameter tree.",2,7,"E",6,"  7E",20
"36","V1 then veered to the left until itstruck a 10 by 10 cm mailbox post. V1 came to",2,7,"E",7,"  7E",20
"37","final rest partially back on the roadway facing northwest.",2,7,"E",8,"  7E",20
"38","Vehicle 1 was traveling north.  Vehicle 2 was traveling north ahead of V1.  V2",2,8,"H",1,"  8H",20
"39","decelerated to make a right turn at a business driveway.  The back of V2 and the",2,8,"H",2,"  8H",20
"40","front of V1 contacted.",2,8,"H",3,"  8H",20
"41","V1 was traveling north negotiating a left curve.  V1 lost control and went off",2,9,"K",1,"  9K",20
"42","the right side of the roadway striking a delineator with its left side.  V1",2,9,"K",2,"  9K",20
"43","continued and struck a 33 cm diameter pole with its left side and came to rest",2,9,"K",3,"  9K",20
"44","facing in an easterly direction.",2,9,"K",4,"  9K",20
"45","V1 was traveling south on a level two-lane undivided roadway.  V1 crossed the",2,10,"K",1," 10K",20
"46","centerline, went off the left side of the roadway and struck two valve box",2,10,"K",2," 10K",20
"47","risers for a fire hydrant with its front.",2,10,"K",3," 10K",20
"48","Vehicle #1 was traveling north on an undivided two-way, two-lane roadway.",2,11,"F",1," 11F",20
"49","Vehicle #1 departed roadway on the east side and impacted a 25cm tree with the",2,11,"F",2," 11F",20
"50","frontal end plane.",2,11,"F",3," 11F",20
