"","VERSION","TEXT71","PSU","CASENO","STRATIF","LINENO","CASEID"
"1",25,"V1 was traveling on a roadway negotiating a curve to the left.  V1 went off the",2,1,"H",1,"  1H"
"2",25,"left side of the roadway and rolled one quarter turn to the left.  v1 contacted",2,1,"H",2,"  1H"
"3",25,"the backslope of a ditch with its front, interrupting the roll .  V1 began to",2,1,"H",3,"  1H"
"4",25,"rotate counterclockwise, rolled over to the right two quarter turns and came to",2,1,"H",4,"  1H"
"5",25,"rest on its right side.",2,1,"H",5,"  1H"
"6",25,"V1, V2 and V3 were traveling on a roadway with V1 ahead of V2 and V2 ahead of",2,2,"E",1,"  2E"
"7",25,"V3.  A deer entered the roadway and was contacted by the front of V1.  The front",2,2,"E",2,"  2E"
"8",25,"of V3 contacted the back of V2.  The front of V2 then contacted the back of V1.",2,2,"E",3,"  2E"
"9",25,"V1 was traveling west on a roadway.  V1 went off the right side of the roadway",2,3,"F",1,"  3F"
"10",25,"and struck a 26 cm diameter tree with its left side.  V1 continued a short",2,3,"F",2,"  3F"
"11",25,"distance and struck a 21 cm diameter tree with its front.",2,3,"F",3,"  3F"
"12",25,"V1 was traveling west on a roadway.  V2 entered the roadway to turn left from a",2,4,"H",1,"  4H"
"13",25,"driveway.  The front of V1 contacted the front of V2.",2,4,"H",2,"  4H"
"14",25,"V1 was traveling on a roadway negotiating a curve.  V1 went off the left side of",2,5,"C",1,"  5C"
"15",25,"the roadway and struck a 48 cm diameter tree with its front.",2,5,"C",2,"  5C"
"16",25,"V1 was traveling east.  A non-contact vehicle was traveling west partially in",2,6,"D",1,"  6D"
"17",25,"the eastbound lane.  V1 went off the right side of the roadway and struck a",2,6,"D",2,"  6D"
"18",25,"utility pole with its right side.",2,6,"D",3,"  6D"
"19",25,"V1 and V2 were traveling on an off ramp waiting to enter traffic.  The front of",2,7,"E",1,"  7E"
"20",25,"V1 contacted the back of V2.",2,7,"E",2,"  7E"
"21",25,"V1 was traveling west on a roadway negotiating a curve.  V1 went off the left",2,8,"H",1,"  8H"
"22",25,"side of the roadway into a ditch and struck a 11 cm diameter fence post with its",2,8,"H",2,"  8H"
"23",25,"left side.",2,8,"H",3,"  8H"
"24",25,"V1 was traveling north on a roadway negotiating a curve.  V1 went off the left",2,9,"F",1,"  9F"
"25",25,"side of the roadway and struck a sign post with its front.  V1 continued and",2,9,"F",2,"  9F"
"26",25,"struck a 30 cm diameter utility pole with its front.",2,9,"F",3,"  9F"
"27",25,"V1 was traveling on a roadway.  A deer entered the roadway.  V1 struck the deer",2,10,"G",1," 10G"
"28",25,"with its front.",2,10,"G",2," 10G"
"29",25,"V1 and V2 were traveling south on a roadway with V1 ahead of V2.  The front of",2,11,"H",1," 11H"
"30",25,"V2 contacted the back of V1.",2,11,"H",2," 11H"
"31",25,"V1 was traveling north on a roadway negotiating a curve.  V1 went off the right",2,12,"K",1," 12K"
"32",25,"side of the roadway and struck a mailbox post with its front.  V1 continued and",2,12,"K",2," 12K"
"33",25,"struck a sign post with its front.  V1 continued and struck a tree root with its",2,12,"K",3," 12K"
"34",25,"right side and then a mailbox post with its front.  V1 went up the edge of a",2,12,"K",4," 12K"
"35",25,"driveway, rotated slightly counterclockwise and rolled over eight quarter turns",2,12,"K",5," 12K"
"36",25,"to the right coming to rest on its wheels partially in the northbound lane.",2,12,"K",6," 12K"
"37",25,"V1 was traveling east on a roadway negotiating a curve.  V1 went off the left",2,13,"E",1," 13E"
"38",25,"side of the roadway and struck a mailbox with its front.  The mailbox separated",2,13,"E",2," 13E"
"39",25,"and struck the top of V1.  V1 continued and struck a 50 cm diameter tree with",2,13,"E",3," 13E"
"40",25,"its front.  V1 rotated counterclockwise, rolled over one quarter turn to the",2,13,"E",4," 13E"
"41",25,"right and came to rest in the roadway.",2,13,"E",5," 13E"
"42",25,"V1 was traveling west on a roadway negotiating a curve and approaching an",2,14,"D",1," 14D"
"43",25,"intersection.  V1 crossed through the intersection, went off the right side of",2,14,"D",2," 14D"
"44",25,"the roadway and struck a small tree with its front.  V1 continued through a",2,14,"D",3," 14D"
"45",25,"group of large bushes striking same with front.  A piece of a bush dislodged and",2,14,"D",4," 14D"
"46",25,"struck V1 in the front.",2,14,"D",5," 14D"
"47",25,"V1 and V2 were traveling south on a roadway.  V1 was in the driving lane and V2",2,15,"H",1," 15H"
"48",25,"in the passing lane.  V1 changed lanes to the left and its front struck the",2,15,"H",2," 15H"
"49",25,"right side of V2.  V2 went off the left side of the roadway and struck a",2,15,"H",3," 15H"
"50",25,"box-beam guardrail with its front.  V3 was traveling in the northbound lanes in",2,15,"H",4," 15H"
"51",25,"the passing lane and was struck in the front by flying debris.",2,15,"H",5," 15H"
"52",25,"V1 was traveling north on a roadway negotiating a curve.  V1 crossed into the",2,16,"D",1," 16D"
"53",25,"southbound lane, corrected to the right and began to rotate clockwise.  V1",2,16,"D",2," 16D"
"54",25,"continued off the right side of the road, struck a mountable curb with its left",2,16,"D",3," 16D"
"55",25,"side continued a short distance and struck a 29 cm diameter pole with its left",2,16,"D",4," 16D"
"56",25,"side.  V1 continued to rotate clockwise, struck the curb with its left side and",2,16,"D",5," 16D"
"57",25,"came to rest.",2,16,"D",6," 16D"
"58",25,"V1 was traveling north on a roadway negotiating a curve.  V1 went off the right",2,17,"D",1," 17D"
"59",25,"side of the roadway down a steep slope rotating slightly counterclockwise.  V1",2,17,"D",2," 17D"
"60",25,"continued and struck a utility guide wire/post with its front.  V1 continued",2,17,"D",3," 17D"
"61",25,"through a large hedge row of trees with its front.  V1 continued off a small",2,17,"D",4," 17D"
"62",25,"rock wall striking it with its right front and right rear tire.  V1 continued a",2,17,"D",5," 17D"
"63",25,"short distance striking a utility guide wire/post with its front.  The",2,17,"D",6," 17D"
"64",25,"wires/post dislodged from the ground and struck V1 in the front.  V1 then struck",2,17,"D",7," 17D"
"65",25,"a rock wall with its front and came to rest.",2,17,"D",8," 17D"
"66",25,"V1 was traveling south on a roadway negotiating a curve.  V1 turned right onto a",2,18,"G",1," 18G"
"67",25,"crossing street, went off the left side of the roadway and struck a small ditch",2,18,"G",2," 18G"
"68",25,"with its front.",2,18,"G",3," 18G"
"69",25,"V1 is traveling southbound negotiating a curve and approaching driveway",2,19,"K",1," 19K"
"70",25,"entrance, V2 traveling northbound on same roadway.  V1 turns left and the front",2,19,"K",2," 19K"
"71",25,"of V1 contacts the front of V2.",2,19,"K",3," 19K"
"72",25,"V1 and V2 were traveling west on a roadway with V2 ahead of V1.  V2 decelerated",2,20,"C",1," 20C"
"73",25,"for an uninvolved vehicle and the front of V1 contacted the back of V2.",2,20,"C",2," 20C"
"74",25,"V2 was traveling on roadway, V1 was entering roadway from right.  Right side of",2,21,"F",1," 21F"
"75",25,"V2 made contact with the left side of V1.",2,21,"F",2," 21F"
"76",25,"V1 was traveling east.  V2 was traveling north. The frontal plane of V2 impacted",3,1,"E",1,"  1E"
"77",25,"the right side plane of V1.",3,1,"E",2,"  1E"
"78",25,"V1 was traveling westbound on a two-way roadway with two lanes in each direction",3,2,"F",1,"  2F"
"79",25,"and a left turning lane.  V2 was traveling southbound on a one-way roadway with",3,2,"F",2,"  2F"
"80",25,"one lane of travel.  V3 was traveling eastbound on lane one of a two-way",3,2,"F",3,"  2F"
"81",25,"roadway with two lanes of travel in each direction.  At the intersection, the",3,2,"F",4,"  2F"
"82",25,"front plane of V2 impacted the right plane of V1, then the left plane of V1",3,2,"F",5,"  2F"
"83",25,"impacted the right plane of V2.  V1 went across the road and the front plane",3,2,"F",6,"  2F"
"84",25,"impacted the front plane of V3, and then the front plane of V1 impacted a fence",3,2,"F",7,"  2F"
"85",25,"on the southwest corner of the intersection.",3,2,"F",8,"  2F"
"86",25,"V1 was traveling north.  V2 was also traveling northbound of the same roadway in",3,3,"H",1,"  3H"
"87",25,"the service lane attempting to turn left heading westbound.  At the",3,3,"H",2,"  3H"
"88",25,"intersection, the frontal plane of V1 impacted the left side plane of V2.",3,3,"H",3,"  3H"
"89",25,"V1 was traveling southbound in the right lane of a physically divided two way",3,4,"F",1,"  4F"
"90",25,"roadway with three lanes in each direction.  On this roadway, the frontal and",3,4,"F",2,"  4F"
"91",25,"undercarriage planes of V1 impacted a steel beam that was on the roadway.",3,4,"F",3,"  4F"
"92",25,"V1 was traveling eastbound on a one-way roadway with one lane of travel.  V2 was",3,5,"F",1,"  5F"
"93",25,"traveling southbound on a one-way roadway with one lane of travel.  At the",3,5,"F",2,"  5F"
"94",25,"intersection, the front plane of V2 impacted the left plane of V1.  V1 came to a",3,5,"F",3,"  5F"
"95",25,"final rest on the curb of the southeast corner.",3,5,"F",4,"  5F"
"96",25,"V1 was traveling westbound on a two way roadway with a single lane of travel in",3,6,"G",1,"  6G"
"97",25,"each direction.  On this roadway, a pedestrian walking northbound collided with",3,6,"G",2,"  6G"
"98",25,"the left side mirror of V1.  This caused V1 to impact a bus stop sign post with",3,6,"G",3,"  6G"
"99",25,"its frontal plane located at the southeast corner.",3,6,"G",4,"  6G"
"100",25,"V3 was traveling southbound on a two-way roadway with one lane in each",3,7,"H",1,"  7H"
"101",25,"direction.  V1 was parked and unoccupied in the southbound parking lane.  V2 was",3,7,"H",2,"  7H"
"102",25,"parked and and unoccupied in front of V1.  A non-contact vehicle traveling",3,7,"H",3,"  7H"
"103",25,"northbound came across the center divider when the driver of V3 steered right,",3,7,"H",4,"  7H"
"104",25,"causing the front plane of V3 to impact the left plane of V1, and then the front",3,7,"H",5,"  7H"
"105",25,"plane of V3 to impact the left plane of V2.",3,7,"H",6,"  7H"
"106",25,"V1 was traveling northbound on a two-way roadway with one lane of travel in each",3,8,"E",1,"  8E"
"107",25,"direction.  V2 was traveling eastbound on a two-way roadway with one lane in",3,8,"E",2,"  8E"
"108",25,"each direction.  V1 attempted to make a right turn at the intersection, when the",3,8,"E",3,"  8E"
"109",25,"front plane of V2 impacted the left plane of V1.",3,8,"E",4,"  8E"
"110",25,"V1 was traveling north, attempting to turn right at an intersection.  V2 was",3,9,"E",1,"  9E"
"111",25,"traveling behind V1.  The frontal plane of V2 impacted the rear plane of V1,",3,9,"E",2,"  9E"
"112",25,"causing V1 to impact a fence located on the northeast corner with its frontal",3,9,"E",3,"  9E"
"113",25,"plane.",3,9,"E",4,"  9E"
"114",25,"V1 was traveling south.  The driver lost control and the front of V1 impacted a",3,10,"G",1," 10G"
"115",25,"fence on top of the sidewalk.",3,10,"G",2," 10G"
"116",25,"V1 was traveling westbound on a two way roadway with a single lane of travel in",3,11,"E",1," 11E"
"117",25,"each direction.  V2 was traveling southbound on a one way roadway with a single",3,11,"E",2," 11E"
