"","AAIS","AAIS08","AINJSER","AINJSER8","AINJURED","AINJURD8","ALCINV","ATREAT","CASEID","CASENO","DAYWEEK","DRGINV","EVENTS","MANCOLL","MONTH","PSU","PSUSTRAT","RATWGT","STRATIF","TIME","VEHFORMS","YEAR","VERSION","ADMINSS"
"1",NA,NA,NA,NA,NA,NA,2,NA,"  1K",1,7,2,2,2,1,2,3,36.627,"K",1513,2,2015,28,0
"2",NA,NA,NA,NA,NA,NA,1,NA,"  2D",2,6,2,1,0,1,2,3,69.792,"D",2141,1,2015,28,0
"3",1,1,0,0,1,1,2,4,"  3E",3,3,2,1,1,1,2,3,375.482,"E",1355,2,2015,28,0
"4",2,2,0,0,1,1,2,4,"  4F",4,1,2,1,6,1,2,3,2374.467,"F",1244,2,2015,28,0
"5",NA,NA,NA,NA,NA,NA,2,NA,"  5H",5,3,2,2,1,2,2,3,2403.604,"H",1637,3,2015,28,0
"6",NA,NA,NA,NA,NA,NA,2,NA,"  6H",6,1,2,1,0,2,2,3,660.662,"H",216,1,2015,28,0
"7",1,1,0,0,1,1,2,0,"  7H",7,3,2,1,1,2,2,3,6747.934,"H",1612,2,2015,28,0
"8",NA,NA,NA,NA,NA,NA,2,NA,"  8H",8,2,2,4,0,1,2,3,3670.775,"H",1134,1,2015,28,0
"9",NA,NA,NA,NA,NA,NA,2,NA,"  9F",9,1,2,1,0,3,2,3,325.783,"F",941,1,2015,28,0
"10",2,2,0,0,1,1,NA,4," 10E",10,5,NA,1,5,3,2,3,92.289,"E",802,2,2015,28,0
"11",1,1,0,0,1,1,2,3," 11E",11,4,2,2,0,2,2,3,180.91,"E",1535,1,2015,28,0
"12",0,0,0,0,0,0,2,0," 12G",12,7,2,2,0,3,2,3,368.666,"G",2333,1,2015,28,0
"13",3,3,1,1,3,3,2,3," 13J",13,2,2,1,4,3,2,3,31.99,"J",1438,2,2015,28,0
"14",1,1,0,0,1,1,2,4," 14E",14,6,2,1,0,3,2,3,1945.519,"E",1708,1,2015,28,0
"15",1,1,0,0,1,1,2,4," 15E",15,3,2,2,1,4,2,3,102.882,"E",1603,2,2015,28,0
"16",1,1,0,0,2,2,2,4," 16D",16,3,2,4,6,4,2,3,150.278,"D",1324,2,2015,28,0
"17",1,1,0,0,1,1,2,4," 17C",17,1,2,2,0,4,2,3,131.824,"C",2123,1,2015,28,0
"18",1,1,0,0,1,1,2,4," 18F",18,6,NA,2,0,5,2,3,576.517,"F",1222,1,2015,28,0
"19",NA,NA,NA,NA,NA,NA,2,NA," 19H",19,2,2,1,1,5,2,3,1147.778,"H",1015,2,2015,28,0
"20",1,1,0,0,1,1,2,4," 20E",20,7,2,1,4,5,2,3,84.615,"E",1313,2,2015,28,0
"21",0,0,0,0,0,0,1,0," 21G",21,3,NA,4,0,6,2,3,943.843,"G",1710,2,2015,28,0
"22",NA,NA,NA,NA,NA,NA,2,NA," 22K",22,5,2,1,2,5,2,3,38.555,"K",136,2,2015,28,0
"23",0,0,0,0,0,0,2,0," 23H",23,7,2,3,0,6,2,3,1202.704,"H",2345,1,2015,28,0
