"","ACCSEQDV","ACCTYPE","ALCTEST","ANGTHIS","ANGOTHER","AOPSVEH","WEATHER","BAGDEPFV","BAGDEPOV","BAREQSP","BODYTYPE","CARGOWGT","CASEID","CASENO","CONDTREE","CURBWGT","DVEST","DOCTRAJ","DRIVDIST","DRINKING","DRIVE","DRPRES","DRRACE","DRZIP","DVBASIS","DVCONFID","DVLAT","DVLONG","DVTOTAL","ENERGY","FOVERIDE","IMPACTSP","INSPTYPE","LANES","LGTCOND","MAKE","MANEUVER","MODEL","MODELYR","NATWGT","OCCFORMS","OCUPANTS","RATWGT","PREEVENT","PREMOVE","PREILOC","PREISTAB","PSU","ALIGNMNT","SURCOND","PROFILE","SURTYPE","RELINTER","ROLINDIR","ROLINLOC","ROLINTYP","ROLLOBJ","ROLLOVER","ROVERIDE","SPECOTH","SPLIMIT","STRATIF","TOWHITCH","TOWPAR","TRAFCONT","TRCTLFCT","TRAVELSP","TRAFFLOW","TRIPLOC","VEHNO","VEHUSE","VIN","VINLNGTH","DRUGS","VINO","VERSION","VINMODYR","MCYCLDS","VEHWGT","VINMAKE","VINAMOD","SERTR","VINBT","ROOF1","ROOF2","ROOF3","ANTILOCK","FRTWHLDR","FOURWHDR","RESTYPE","CARBUR","FUELCODE","WGTCDTR","VEHTYPE","WHLDRWHL","DAYRUNLT","otvehwgt","otbdytyp","VINJSER","VINJURED","VTREAT","VAIS"
"1",1,1,NA,998,998,1,1,1,0,NA,4,0,"  1H",1,0,105,6,1,1,0,2,1,1,12477,11,0,NA,NA,NA,NA,0,NA,2,2,1,37,6,31,1995,0.3509521484375,1,1,414.851,13,14,4,1,2,3,2,2,2,0,0,0,0,0,0,0,0,64,"H",0,1,5,2,NA,0,0,1,0,"JHMEG8651S",17,0,5,17,1995,NA,2313,"HOND","CLX","","4D",1,NA,NA,1,"Y","N","E","F","G",NA,"P",NA,"N",998,98,0,0,0,0
"2",1,69,NA,190,325,1,0,6,0,45,20,1,"  2K",2,0,193,0,0,1,0,8,1,1,12477,1,1,13,-35,37,1829,0,998,3,4,1,37,2,441,2001,0.0269966125488281,2,2,30.006,62,1,1,1,2,1,1,4,2,2,0,0,0,0,0,0,0,89,"K",0,1,1,2,NA,0,0,1,0,"2HKRL18501",17,0,4,17,2001,NA,NA,"HOND","UDY","UYX","SV",1,NA,NA,2,"","","E","","G",1,"T",42,"N",171,20,1,2,3,3
"3",1,68,NA,325,190,1,0,6,0,31,20,1,"  2K",2,0,171,0,0,NA,0,8,1,NA,12401,1,1,-20,-35,40,972,0,998,3,4,1,49,NA,442,1998,0.0269966125488281,3,3,30.006,15,11,1,NA,2,1,1,2,2,2,0,0,0,0,0,0,0,89,"K",0,1,1,2,NA,0,0,2,0,"4T3GF19C0W",17,0,4,17,1998,NA,NA,"TOYT","SIE","SCE","SV",1,NA,NA,2,"","","E","","G",1,"T",42,"N",193,20,2,3,3,3
"4",1,78,NA,120,200,1,0,1,0,20,4,0,"  3E",3,0,154,0,0,2,1,2,1,NA,12477,3,4,15,-3,15,269,0,998,2,4,1,20,NA,2,2001,0.35394287109375,1,1,463.507,16,10,1,NA,2,3,1,1,2,2,0,0,0,0,0,0,0,32,"E",0,1,2,2,NA,0,0,1,0,"2G1WF52E21",17,0,4,17,2001,NA,3389,"CHEV","IMP","","4D",1,3,NA,5,"Y","N","E","F","G",NA,"P",NA,"S",104,4,0,0,0,0
"5",1,79,NA,200,120,1,0,6,0,16,4,1,"  3E",3,0,104,0,0,1,0,2,1,NA,12477,3,1,-4,-22,22,128,0,998,3,2,1,55,NA,36,2001,0.35394287109375,1,1,463.507,65,14,1,NA,2,3,1,2,2,2,0,0,0,0,0,0,0,64,"E",0,1,0,0,NA,1,0,2,0,"KMHCG45C61",17,0,5,17,2001,NA,2290,"HYUN","AGL","","4D",1,NA,NA,1,"Y","N","E","F","G",NA,"P",NA,"N",154,4,0,1,4,1
"6",1,46,NA,0,0,1,0,1,0,NA,30,NA,"  4A",4,0,188,6,0,NA,0,8,1,NA,12526,7,0,NA,NA,NA,NA,0,NA,2,3,1,7,NA,472,2003,0.0269966125488281,0,1,37.849,11,6,2,NA,2,3,1,4,2,0,0,0,0,0,0,0,0,89,"A",0,0,0,0,NA,0,0,1,0,"1D7HG12X73",17,0,4,17,2003,NA,NA,"DODG","DAK","SXT","PC",1,NA,NA,3,"","","E","","G",2,"T",44,"N",109,4,NA,NA,NA,NA
"7",3,45,NA,285,180,1,0,6,0,63,4,0,"  4A",4,0,109,0,0,NA,0,2,1,1,12401,3,4,-49,-29,57,2273,0,998,2,3,1,49,NA,32,2001,0.0269966125488281,4,4,37.849,60,14,1,NA,2,3,1,4,2,0,0,0,0,0,0,0,0,89,"A",0,1,0,0,NA,0,0,2,0,"2T1BR12EX1",17,0,4,17,2001,NA,2410,"TOYT","UCS","","4D",1,3,NA,5,"Y","N","E","F","G",NA,"P",NA,"S",172,31,2,4,1,4
"8",3,98,NA,180,285,1,0,6,0,35,31,1,"  4A",4,0,172,0,0,NA,0,8,1,NA,12572,3,1,14,-40,42,1093,0,998,3,3,1,12,NA,481,1998,0.0269966125488281,1,1,37.849,62,14,1,NA,2,2,1,2,2,0,0,0,0,0,0,0,0,89,"A",0,1,0,0,NA,0,0,3,0,"1FTZF1724W",17,0,4,17,1998,NA,NA,"FORD","COF","F15","PK",1,NA,NA,4,"","","E","","G",1,"T",42,"N",109,4,1,1,3,4
"9",2,6,NA,998,998,1,0,6,0,NA,4,2,"  5D",5,1,112,7,0,NA,0,2,1,NA,12561,7,0,NA,NA,NA,NA,0,NA,3,2,1,12,NA,13,1999,0.156982421875,1,1,174.369,12,1,4,NA,2,1,1,1,2,0,0,0,0,0,0,0,0,89,"D",0,1,0,0,NA,0,0,1,0,"1FAFP13P6X",17,0,4,17,1999,NA,2468,"FORD","ESE","","4D",1,NA,NA,7,"Y","N","E","F","G",NA,"P",NA,"N",998,98,0,1,4,1
"10",1,64,NA,350,270,1,0,6,0,10,6,2,"  6D",6,0,140,0,0,1,0,1,1,NA,12428,1,1,-21,4,21,131,0,998,3,2,1,48,1,34,1996,0.0569992065429688,2,2,62.628,5,1,2,4,2,1,3,4,2,0,0,0,0,0,0,0,0,89,"D",0,1,0,0,NA,0,0,1,0,"4S3BG4857T",17,0,4,17,1996,NA,3080,"SUBA","ULK","","SW",1,NA,NA,2,"N","Y","E","F","G",NA,"P",NA,"N",120,4,1,2,3,3
"11",1,65,NA,270,350,1,0,4,1,38,4,2,"  6D",6,0,120,0,0,1,0,2,1,1,12566,1,1,4,-25,25,747,0,998,3,2,1,55,1,35,2003,0.0569992065429688,1,1,62.628,62,1,1,1,2,1,3,2,2,0,0,0,0,0,0,0,0,89,"D",0,1,0,0,NA,0,0,2,0,"KMHDN45D03",17,0,5,17,2003,NA,2635,"HYUN","EST","","4D",1,3,NA,5,"Y","N","K","F","G",NA,"P",NA,"N",140,6,0,1,4,2
"12",1,20,NA,88,90,0,0,0,0,25,14,0,"  7G",7,0,176,0,0,NA,0,8,1,NA,12561,1,1,0,-23,23,495,0,998,3,3,1,21,NA,401,1993,0.7049560546875,2,2,973.95,50,14,1,NA,2,3,1,1,2,2,0,0,0,0,0,0,NA,89,"G",0,1,1,2,NA,1,0,1,0,"1GHDT13W5P",17,1,4,17,1993,NA,NA,"OLDS","BRA","BRA","UT",1,NA,NA,2,"","","A","","G",1,"T",44,"N",112,4,0,0,0,0
"13",1,21,NA,90,88,1,0,1,0,35,4,1,"  7G",7,0,112,0,0,NA,0,2,1,NA,12601,1,1,0,37,37,580,NA,998,3,3,1,63,NA,31,2001,0.7049560546875,1,1,973.95,53,5,1,1,2,3,1,1,2,2,0,0,0,0,0,0,0,89,"G",0,1,1,2,0,1,0,2,0,"KNAFB12111",17,0,5,17,2001,NA,2478,"KIA","SPL","","4D",1,NA,NA,5,"Y","N","E","F","G",NA,"P",NA,"N",176,14,0,0,0,0
"14",2,98,NA,95,92,2,0,NA,0,16,14,NA,"  7G",7,0,142,0,0,NA,0,8,1,NA,12603,3,4,0,14,14,145,0,998,0,3,1,48,NA,401,2001,0.7049560546875,0,1,973.95,53,5,1,1,2,3,1,1,2,2,0,0,0,0,0,NA,0,89,"G",0,0,1,2,0,1,0,3,0,"JF1SF63521",17,0,5,17,2001,NA,NA,"SUBA","FOR","FOL","4W",1,NA,NA,2,"","","E","","G",1,"T",44,"N",112,4,NA,NA,NA,NA
"15",1,7,NA,998,998,1,0,1,0,10,4,1,"  8H",8,1,141,0,1,1,0,2,1,NA,12571,1,1,3,-9,10,95,0,998,3,2,2,12,1,17,1995,1.408935546875,1,1,1665.149,5,14,4,4,2,3,3,1,2,0,0,0,0,0,0,0,0,72,"H",0,1,0,0,NA,0,0,1,0,"1FALP52U7S",17,0,4,17,1995,NA,3118,"FORD","TGS","","4D",1,NA,NA,5,"Y","N","E","F","G",NA,"P",NA,"N",998,98,0,1,0,1
"16",1,1,29,998,998,0,0,0,0,12,2,0,"  9D",9,0,100,0,0,NA,1,2,1,NA,12443,9,0,NA,NA,NA,NA,0,NA,3,2,2,30,NA,36,1986,0.0569992065429688,1,1,62.4,13,14,4,NA,2,3,1,1,2,0,8,8,98,32,98,0,1,89,"D",0,1,0,0,NA,0,8,1,0,"1VWDB0179G",17,0,4,17,1986,NA,2196,"VOLK","GTI","","2H",NA,NA,NA,NA,"","","A","F","G",NA,"P",NA,"",998,98,0,1,4,2
"17",1,2,NA,998,998,1,0,1,0,19,2,0," 10F",10,2,128,0,1,1,0,2,1,1,12528,9,0,NA,NA,NA,NA,0,NA,3,2,1,37,1,32,1992,0.46697998046875,1,1,442.062,5,14,4,4,2,3,3,4,2,0,0,0,0,0,0,0,0,72,"F",0,1,0,0,NA,0,0,1,0,"1HGCB7155N",17,0,4,17,1992,NA,2829,"HOND","ALX","","CP",1,NA,NA,1,"Y","N","M","F","G",NA,"P",NA,"N",998,98,0,1,4,1
"18",1,69,NA,180,285,0,0,0,0,17,14,1," 11H",11,0,133,0,0,NA,0,8,1,NA,12528,1,1,2,-14,14,189,0,998,3,4,1,2,NA,403,1993,1.40380859375,1,1,1659.086,62,1,1,NA,2,1,1,2,2,3,0,0,0,0,0,0,0,64,"H",0,1,0,0,NA,0,0,1,0,"1J4FY19P7P",17,0,4,17,1993,NA,NA,"JEEP","W/Y","W/S","2W",1,5,NA,1,"","","A","","G",1,"T",44,"N",228,14,0,0,0,0
"19",1,68,NA,285,180,1,0,1,7,6,14,0," 11H",11,0,228,0,0,2,0,8,1,NA,12538,1,1,-8,-1,8,48,0,998,2,4,1,20,NA,403,2003,1.40380859375,0,1,1659.086,15,11,1,NA,2,1,1,4,2,3,0,0,0,0,0,0,0,64,"H",0,0,0,0,NA,0,0,2,0,"1GNET16P03",17,0,4,17,2003,NA,NA,"CHEV","TRL","TXT","4W",1,3,NA,2,"","","E","","G",2,"T",44,"S",133,14,NA,NA,NA,NA
"20",NA,20,NA,180,180,0,0,0,0,NA,4,3," 12F",12,0,156,NA,0,1,0,2,1,NA,7871,0,0,NA,NA,NA,NA,NA,NA,0,1,1,19,4,14,1988,0.31597900390625,1,1,299.441,50,1,1,NA,2,1,2,2,2,2,0,0,0,0,0,0,0,48,"F",0,1,5,2,NA,1,0,1,NA,"9999999999",NA,0,1,17,9999,9999,9999,"9999","999","999","99",9,9,9,9,"9","9","9","9","9",9,"9",99,"9",NA,NA,0,0,0,0
"21",1,22,NA,180,180,1,0,0,0,9,4,1," 12F",12,0,120,0,0,1,0,2,1,1,12466,3,1,2,9,9,54,0,998,3,1,1,20,1,19,1990,0.31597900390625,1,1,299.441,53,5,1,1,2,1,2,2,2,2,0,0,0,0,0,NA,0,48,"F",0,1,5,2,NA,1,0,2,0,"1G1LT54G1L",17,0,4,17,1990,NA,2635,"CHEV","COL","","4D",1,NA,NA,1,"Y","N","P","F","G",NA,"P",NA,"N",156,4,0,1,4,1
"22",1,7,NA,998,998,1,0,1,0,15,14,0," 13G",13,0,149,0,1,1,0,8,1,NA,11417,1,1,3,-15,15,159,0,998,3,2,5,12,NA,402,2004,0.4749755859375,4,4,657.326,5,10,4,NA,2,3,5,2,2,2,0,0,0,0,0,0,0,89,"G",0,1,0,0,NA,0,0,1,0,"1FMYU02134",17,0,4,17,2004,NA,NA,"FORD","SPE","SLS","4W",1,NA,NA,7,"","","E","","G",1,"T",42,"N",998,98,0,0,0,0
