"","ACCSEQDV","ACCTYPE","ALCTEST","ANGTHIS","ANGOTHER","WEATHER","BAREQSP","BODYTYPE","CARGOWGT","CASEID","CASENO","CONDTREE","CURBWGT","DVEST","DOCTRAJ","DRIVDIST","DRINKING","DRPRES","DRRACE","DRZIP","DVBASIS","DVCONFID","DVLAT","DVLONG","DVTOTAL","ENERGY","FOVERIDE","IMPACTSP","INSPTYPE","LANES","LGTCOND","MAKE","MANEUVER","MODEL","MODELYR","OCCFORMS","OCUPANTS","RATWGT","PREEVENT","PREMOVE","PREILOC","PREISTAB","PSU","ALIGNMNT","SURCOND","PROFILE","SURTYPE","RELINTER","ROLINDIR","ROLINLOC","ROLINTYP","ROLLOBJ","ROLLOVER","ROVERIDE","SPECOTH","SPLIMIT","STRATIF","TOWHITCH","TOWPAR","TRAFCONT","TRCTLFCT","TRAVELSP","TRAFFLOW","TRIPLOC","VEHNO","VEHUSE","VIN","VINLNGTH","DRUGS","VINO","VERSION","VINMODYR","MCYCLDS","VEHWGT","VINMAKE","VINAMOD","SERTR","VINBT","ROOF1","ROOF2","ROOF3","ANTILOCK","FRTWHLDR","FOURWHDR","RESTYPE","CARBUR","FUELCODE","WGTCDTR","VEHTYPE","WHLDRWHL","DAYRUNLT","otvehwgt","otbdytyp","VINJSER","VINJURED","VTREAT","VAIS"
"1",NA,98,18,997,997,3,NA,14,NA,"  1K",1,0,133,NA,1,NA,1,1,NA,12487,0,0,NA,NA,NA,NA,0,NA,0,2,2,2,NA,403,1991,1,1,50.311,6,14,1,3,2,2,3,4,2,0,NA,NA,NA,NA,NA,0,0,56,"K",0,1,5,2,NA,0,NA,1,0,"2J4FY69S2MJ1",17,0,4,19,1991,NA,NA,"JEEP","W/Y","WYR","2W",1,NA,NA,1,"","","A","","G",1,"T",44,"N",NA,NA,1,1,3,3
"2",1,7,NA,997,997,3,NA,14,1,"  2G",2,0,217,6,0,NA,0,1,NA,12487,5,0,NA,NA,NA,NA,0,NA,3,2,1,35,NA,401,2005,2,2,3018.549,12,14,4,NA,2,2,3,4,2,0,1,1,3,31,1,0,0,56,"G",0,1,0,0,NA,0,6,1,0,"5N1AR18W25C7",17,0,4,19,2005,NA,NA,"NISS","PFI","ULS","4W",1,3,NA,2,"","","S","","G",1,"T",44,"N",998,98,0,0,0,0
"3",1,72,NA,335,350,4,NA,4,1,"  3J",3,0,116,6,0,1,0,1,NA,12484,7,0,NA,NA,NA,NA,0,NA,3,2,2,35,NA,43,2000,1,1,89.024,15,1,1,1,2,1,2,4,2,2,0,0,0,0,0,0,0,89,"J",0,1,0,0,NA,0,0,1,0,"3N1BB51D1YL1",17,0,4,19,2000,NA,2548,"NISS","SSE","","4D",1,NA,NA,7,"Y","N","E","F","G",NA,"P",NA,"N",183,4,0,1,4,1
"4",2,73,NA,998,998,4,31,4,4,"  3J",3,1,183,0,1,1,0,1,1,12404,1,1,31,-5,31,742,0,998,3,2,2,12,6,16,2004,1,1,89.024,60,6,2,1,2,1,2,4,2,2,0,0,0,0,0,0,0,89,"J",0,1,0,0,NA,0,0,2,5,"2FAHP71W74X1",17,0,4,19,2004,NA,9999,"FORD","CVP","","4D",1,NA,NA,2,"N","N","K","F","G",NA,"P",NA,"N",998,98,1,1,3,3
"5",1,68,NA,350,175,0,NA,4,NA,"  4H",4,0,131,6,0,NA,0,1,NA,12533,7,0,NA,NA,NA,NA,0,NA,2,5,1,58,NA,33,1995,1,1,4132.664,15,1,1,NA,2,1,1,4,2,2,0,0,0,0,0,0,0,64,"H",0,1,1,2,NA,0,0,1,0,"JNKCP01D8ST5",17,0,5,19,1995,NA,2877,"INFI","G20","","4D",1,3,NA,2,"Y","N","E","F","G",NA,"P",NA,"N",130,4,0,0,0,0
"6",1,69,NA,175,350,0,NA,4,0,"  4H",4,0,130,6,0,1,0,1,1,12561,7,0,NA,NA,NA,NA,0,NA,3,3,1,37,8,32,1997,1,1,4132.664,62,1,1,1,2,1,1,2,2,2,0,0,0,0,0,0,0,64,"H",0,1,1,2,NA,1,0,2,0,"1HGCD5659VA2",17,0,4,19,1997,NA,2974,"HOND","UEX","","4D",3,NA,NA,2,"Y","N","E","F","G",NA,"P",NA,"N",131,4,0,0,0,0
"7",NA,1,NA,998,998,2,NA,6,NA,"  5D",5,7,NA,NA,0,NA,1,1,NA,12401,0,0,NA,NA,NA,NA,0,NA,0,2,3,20,NA,399,1995,2,2,677.493,13,14,4,NA,2,3,2,1,2,0,NA,NA,NA,NA,NA,0,0,48,"D",0,1,5,2,NA,0,NA,1,0,"999999999999",NA,0,1,19,9999,9999,9999,"9999","999","999","99",9,9,9,9,"9","9","9","9","9",9,"9",99,"9",NA,NA,0,2,3,1
"8",1,3,NA,998,998,0,13,4,5,"  6K",6,1,137,0,1,1,0,1,2,12401,1,3,13,-2,13,248,0,998,3,2,2,35,7,39,1991,5,5,56.458,89,14,4,3,2,2,2,4,2,0,0,0,0,0,0,0,0,56,"K",0,1,5,2,NA,0,0,1,0,"JN1HJ01P1MT5",17,0,5,19,1991,NA,2980,"NISS","MAX","","4D",1,2,3,7,"Y","N","P","F","G",NA,"P",NA,"N",998,98,0,4,3,2
"9",1,98,NA,0,340,0,10,4,NA,"  7H",7,0,103,0,0,NA,0,1,NA,12528,1,1,-2,-9,9,73,0,998,4,2,1,37,NA,31,1992,0,3,1154.854,64,14,1,NA,2,2,2,4,2,0,0,0,0,0,0,0,0,48,"H",0,0,0,0,NA,0,0,1,0,"1HGEG8650NL0",17,0,4,19,1992,NA,2319,"HOND","CLX","","4D",3,NA,NA,1,"Y","N","M","F","G",NA,"P",NA,"N",109,4,NA,NA,NA,NA
"10",1,98,NA,340,0,0,8,4,0,"  7H",7,0,109,0,0,1,0,1,1,12603,1,1,5,8,9,48,0,998,3,2,1,37,1,31,1996,1,1,1154.854,10,8,1,1,2,2,2,1,2,0,0,0,0,0,0,0,0,48,"H",0,1,0,0,NA,0,0,2,0,"2HGEJ6628TH5",17,0,4,19,1996,NA,2307,"HOND","UCD","","4D",1,NA,NA,5,"Y","N","E","F","G",NA,"P",NA,"N",103,4,0,0,0,0
"11",3,6,NA,997,997,0,NA,4,1,"  8E",8,0,145,7,1,NA,0,1,NA,12589,5,0,NA,NA,NA,NA,0,NA,3,2,2,48,NA,38,2003,4,4,411.365,12,14,4,4,2,2,1,2,2,0,NA,NA,NA,NA,NA,0,0,89,"E",0,1,0,0,NA,0,NA,1,0,"JF1GD29663G5",17,0,5,19,2003,NA,3085,"SUBA","IWX","","4D",1,NA,NA,2,"N","Y","K","T","G",NA,"P",NA,"S",998,98,0,3,3,2
"12",NA,51,NA,350,160,3,NA,3,0,"  9F",9,0,115,NA,0,1,0,1,1,12603,0,0,NA,NA,NA,NA,NA,NA,0,2,1,52,2,37,1992,2,2,710.637,54,14,1,1,2,3,3,1,2,0,0,0,0,0,0,0,0,48,"F",0,1,0,0,NA,0,0,1,0,"4A3CS44R7NE0",17,0,4,19,1992,NA,2572,"MITS","EGS","","2H",1,2,NA,5,"Y","N","P","F","G",NA,"P",NA,"N",NA,NA,0,2,4,1
"13",NA,50,NA,160,350,3,NA,30,NA,"  9F",9,0,159,NA,0,1,0,1,NA,12582,0,0,NA,NA,NA,NA,NA,NA,0,2,1,7,NA,472,1994,0,1,710.637,5,14,2,NA,2,2,3,1,2,0,0,0,0,0,0,0,0,48,"F",0,0,0,0,NA,0,0,2,0,"1B7GL23X9RW1",17,0,4,19,1994,NA,NA,"DODG","DAK","DAK","PC",1,NA,NA,3,"","","B","","G",1,"T",42,"N",NA,NA,NA,NA,NA,NA
