"","ACCSEQ1","ACCSEQ2","ALTVEH","ORIGAVTW","CASEID","CASENO","DIRDAMW","DOCCDC","DVC1","DVC2","DVC3","DVC4","DVC5","DVC6","DVD","DVL","DOF1","DOF2","UNDENDW","EXTENT1","EXTENT2","FUELCAP1","FUELCAP2","FIRE","FIREORIG","FUELDAM1","FUELDAM2","GAD1","GAD2","FUELLOC1","FUELLOC2","FUELTNK1","FUELTNK2","FUELTYP1","FUELTYP2","FUELEAK1","FUELEAK2","FUELGT2","OBJCONT1","OBJCONT2","PDOF1","PDOF2","PSU","RATWGT","SDVC1","SDVC2","SDVC3","SDVC4","SDVC5","SDVC6","SDVD","SDVL","SHL1","SHL2","STRATIF","SVL1","SVL2","TDD1","TDD2","TOWRES","VEHNO","WHEELBAS","VERSION"
"1",1,NA,0,140,"  1H",1,60,0,0,0,0,6,7,24,30,150,12,NA,150,2,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,10,NA,2,570.65,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","H","E","","W","",1,1,265,20
"2",1,NA,0,155,"  1H",1,83,0,0,1,13,16,16,18,176,132,10,NA,998,2,NA,NA,NA,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,290,NA,2,570.65,NA,NA,NA,NA,NA,NA,NA,NA,"F","","H","E","","W","",0,2,267,20
"3",1,2,0,140,"  2F",2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,998,2,2,NA,NA,0,0,1,NA,"L","R",NA,NA,NA,NA,1,NA,1,NA,NA,31,68,998,998,2,115.529,NA,NA,NA,NA,NA,NA,NA,NA,"D","B","F","A","E","O","W",1,1,309,20
"4",1,NA,0,147,"  3H",3,70,0,1,1,1,1,13,0,38,143,12,NA,143,2,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,2,316.613,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","H","E","","W","",0,1,262,20
"5",4,2,0,147,"  4F",4,9,1,0,0,2,3,2,3,23,139,12,12,139,1,3,NA,NA,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,50,68,0,0,2,103.92,NA,NA,NA,NA,NA,NA,NA,NA,"C","L","F","L","W","N","N",0,1,262,20
"6",1,NA,0,153,"  5G",5,70,0,0,2,4,5,6,0,26,103,11,NA,998,2,NA,NA,NA,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,41,NA,340,NA,2,222.378,NA,NA,NA,NA,NA,NA,NA,NA,"P","","G","A","","S","",0,1,263,20
"7",1,2,0,145,"  6H",6,93,0,18,21,30,42,30,15,-31,150,12,6,150,2,1,NA,NA,0,0,1,NA,"F","B",NA,NA,NA,NA,1,NA,1,NA,NA,2,56,10,170,2,284.798,NA,NA,NA,NA,NA,NA,NA,NA,"Y","R","H","E","M","W","N",1,1,247,20
"8",1,NA,0,161,"  7E",7,81,0,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,163,2,NA,NA,NA,0,0,1,NA,"B","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,180,NA,2,139.352,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","E","E","","W","",NA,1,303,20
"9",1,NA,0,148,"  7E",7,77,0,32,37,36,23,7,0,-15,138,12,NA,138,2,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,0,NA,2,139.352,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","E","E","","W","",1,2,260,20
"10",1,NA,0,148,"  8F",8,130,0,0,2,3,2,5,5,165,130,10,NA,998,1,NA,NA,NA,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,310,NA,2,271.752,NA,NA,NA,NA,NA,NA,NA,NA,"F","","F","E","","W","",1,1,320,20
