"","ACCSEQ1","ACCSEQ2","ALTVEH","ORIGAVTW","CASEID","CASENO","DIRDAMW","DOCCDC","DVC1","DVC2","DVC3","DVC4","DVC5","DVC6","DVD","DVL","DOF1","DOF2","UNDENDW","EXTENT1","EXTENT2","FUELCAP1","FUELCAP2","FUELPRE1","FUELPRE2","FIRE","FIREORIG","FUELDAM1","FUELDAM2","GAD1","GAD2","FUELLOC1","FUELLOC2","FUELTNK1","FUELTNK2","FUELTYP1","FUELTYP2","FUELEAK1","FUELEAK2","FUELGT2","OBJCONT1","OBJCONT2","PDOF1","PDOF2","PSU","RATWGT","SDVC1","SDVC2","SDVC3","SDVC4","SDVC5","SDVC6","SDVD","SDVL","SHL1","SHL2","STRATIF","SVL1","SVL2","TDD1","TDD2","TOWRES","VEHNO","WHEELBAS","VERSION"
"1",2,1,0,154,"  1C",1,120,1,NA,NA,NA,NA,NA,NA,NA,NA,0,12,998,3,1,NA,NA,NA,0,0,0,1,NA,"T","F",NA,NA,NA,NA,1,NA,1,NA,NA,31,44,998,350,2,41.048,8,8,3,0,0,0,-55,158,"Y","L","C","D","E","O","W",1,1,265,23
"2",1,NA,0,152,"  2H",2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,NA,NA,NA,NA,0,0,0,1,NA,"B","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,NA,NA,2,891.159,NA,NA,NA,NA,NA,NA,NA,NA,"9","","H","9","","9","",0,1,270,23
"3",1,NA,0,152,"  2H",2,135,0,1,0,2,3,0,0,9,151,12,NA,151,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,0,NA,2,891.159,NA,NA,NA,NA,NA,NA,NA,NA,"D","","H","E","","W","",1,2,275,23
"4",1,NA,0,154,"  3F",3,131,0,0,1,11,8,8,5,16,160,12,NA,160,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,2,536.27,NA,NA,NA,NA,NA,NA,NA,NA,"D","","F","E","","W","",1,1,302,23
"5",2,1,0,150,"  4H",4,9,1,1,1,1,0,0,0,-67,145,12,12,145,1,3,NA,NA,NA,0,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,50,63,0,0,2,1409.811,NA,NA,NA,NA,NA,NA,NA,NA,"L","L","H","L","W","S","N",1,1,251,23
"6",4,1,0,146,"  5K",5,50,1,23,45,45,22,3,0,-30,144,12,12,144,3,2,NA,NA,NA,0,0,0,1,NA,"F","R",NA,NA,NA,NA,1,NA,1,NA,NA,42,42,10,10,2,43.506,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Z","K","E","A","W","S",1,1,252,23
"7",2,1,0,152,"  7G",7,42,0,6,0,0,0,0,0,-58,144,11,9,144,1,2,NA,NA,NA,0,0,0,1,NA,"F","L",NA,NA,NA,NA,1,NA,1,NA,NA,60,50,330,280,2,206.59,NA,NA,NA,NA,NA,NA,NA,NA,"L","P","G","L","A","W","N",0,1,269,23
"8",1,NA,0,154,"  8H",8,232,0,0,0,6,5,2,0,-104,181,12,NA,998,1,NA,NA,NA,NA,0,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,350,NA,2,366.115,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","H","E","","S","",0,1,272,23
"9",1,NA,0,167," 10K",10,165,0,15,29,49,63,68,79,3,178,12,NA,178,3,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,2,43.506,NA,NA,NA,NA,NA,NA,NA,NA,"D","","K","E","","W","",1,1,364,23
"10",1,NA,0,NA," 11D",11,50,0,27,35,51,48,6,0,3,178,12,NA,178,3,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,42,NA,10,NA,2,134.612,NA,NA,NA,NA,NA,NA,NA,NA,"C","","D","E","","W","",1,1,338,23
