"","ACCSEQ1","ACCSEQ2","ALTVEH","ORIGAVTW","CASEID","CASENO","DIRDAMW","DOCCDC","DVC1","DVC2","DVC3","DVC4","DVC5","DVC6","DVD","DVL","DOF1","DOF2","UNDENDW","EXTENT1","EXTENT2","FUELCAP1","FUELCAP2","FUELPRE1","FUELPRE2","FIRE","FIREORIG","FUELDAM1","FUELDAM2","GAD1","GAD2","FUELLOC1","FUELLOC2","FUELTNK1","FUELTNK2","FUELTYP1","FUELTYP2","FUELEAK1","FUELEAK2","FUELGT2","OBJCONT1","OBJCONT2","PDOF1","PDOF2","PSU","RATWGT","SDVC1","SDVC2","SDVC3","SDVC4","SDVC5","SDVC6","SDVD","SDVL","SHL1","SHL2","STRATIF","SVL1","SVL2","TDD1","TDD2","VEHNO","WHEELBAS","VERSION"
"1",1,2,0,153,"  1H",1,124,0,NA,NA,NA,NA,NA,NA,NA,NA,0,12,998,3,1,NA,NA,NA,0,0,0,1,NA,"L","F",NA,NA,NA,NA,1,NA,1,NA,NA,31,44,998,0,2,215.258,3,0,1,1,0,0,-31,154,"D","Y","H","A","E","O","W",1,262,25
"2",2,NA,0,149,"  2E",2,71,0,11,9,7,5,2,0,-36,142,12,NA,142,2,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,2,86.585,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","E","E","","W","",3,250,25
"3",2,1,0,162,"  3F",3,18,0,3,31,23,14,7,0,-27,146,12,10,146,2,2,NA,NA,NA,0,0,0,1,NA,"F","L",NA,NA,NA,NA,1,NA,1,NA,NA,42,42,0,300,2,304.84,0,6,12,9,2,0,71,113,"Y","P","F","E","E","N","W",1,303,25
"4",1,NA,0,155,"  4H",4,17,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,150,2,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,10,NA,2,883.878,NA,NA,NA,NA,NA,NA,NA,NA,"L","","H","E","","E","",1,270,25
"5",1,NA,0,156,"  4H",4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,998,NA,NA,NA,NA,NA,0,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,310,NA,2,883.878,NA,NA,NA,NA,NA,NA,NA,NA,"9","","H","E","","9","",2,274,25
"6",1,NA,0,163,"  5C",5,10,0,29,0,0,0,0,0,-71,152,12,NA,152,4,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,17,NA,1,NA,NA,42,NA,350,NA,2,47.034,NA,NA,NA,NA,NA,NA,NA,NA,"L","","C","E","","E","",1,292,25
"7",1,NA,0,153,"  6D",6,118,0,0,4,12,18,4,0,-101,178,12,NA,998,2,NA,NA,NA,NA,0,0,0,1,NA,"R","",NA,NA,NA,NA,1,NA,1,NA,NA,51,NA,10,NA,2,325.572,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","D","A","","S","",1,265,25
"8",2,1,0,153,"  9F",9,14,0,65,1,0,0,0,0,-68,150,12,12,150,3,1,NA,NA,NA,0,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,51,53,0,0,2,170.885,NA,NA,NA,NA,NA,NA,NA,NA,"L","R","F","E","L","E","N",1,269,25
"9",1,NA,0,156," 10G",10,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,NA,NA,NA,NA,0,0,0,1,NA,"9","",NA,NA,NA,NA,1,NA,1,NA,NA,76,NA,NA,NA,2,421.422,NA,NA,NA,NA,NA,NA,NA,NA,"9","","G","9","","9","",1,274,25
"10",1,NA,0,157," 11H",11,158,0,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,158,1,NA,NA,NA,NA,0,0,0,1,NA,"B","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,180,NA,2,1065.69,NA,NA,NA,NA,NA,NA,NA,NA,"D","","H","L","","W","",1,277,25
"11",5,3,0,152," 12K",12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,12,998,3,1,NA,NA,NA,0,0,0,1,NA,"R","R",NA,NA,NA,NA,1,NA,1,NA,NA,31,42,998,10,2,49.762,NA,NA,NA,NA,NA,NA,NA,NA,"D","B","K","A","W","O","W",1,255,25
"12",3,4,0,153," 13E",13,51,1,67,73,58,35,13,0,-33,162,12,0,162,4,2,NA,NA,NA,0,0,0,1,NA,"F","R",NA,NA,NA,NA,1,NA,1,NA,NA,42,31,0,998,2,232.343,NA,NA,NA,NA,NA,NA,NA,NA,"Y","D","E","E","A","W","O",1,265,25
"13",1,2,0,158," 14D",14,6,1,0,0,0,0,0,39,62,130,12,12,130,3,1,NA,NA,NA,0,0,0,1,NA,"F","F",NA,NA,NA,NA,17,NA,1,NA,NA,41,43,0,0,2,111.68,NA,NA,NA,NA,NA,NA,NA,NA,"R","D","D","E","E","S","W",1,281,25
"14",2,1,0,155," 15H",15,3,0,1,1,0,0,0,0,-79,160,12,5,160,9,1,NA,NA,NA,0,0,0,1,NA,"F","R",NA,NA,NA,NA,1,NA,1,NA,NA,48,1,0,140,2,2803.717,0,0,3,2,0,0,165,122,"L","Y","H","E","E","S","W",2,289,25
"15",2,1,0,145," 16D",16,38,1,0,7,16,40,15,0,14,198,8,8,998,4,1,NA,NA,NA,0,0,0,1,NA,"L","L",NA,NA,NA,NA,1,NA,1,NA,NA,51,63,240,240,2,57.542,NA,NA,NA,NA,NA,NA,NA,NA,"P","F","D","A","W","N","N",1,261,25
"16",7,1,0,150," 17D",17,152,1,3,1,0,0,0,0,0,152,12,12,152,1,1,NA,NA,NA,0,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,58,68,0,350,2,71.106,NA,NA,NA,NA,NA,NA,NA,NA,"D","R","D","E","E","W","E",1,262,25
"17",1,NA,0,147," 19K",19,75,0,57,50,50,28,10,0,-32,140,12,NA,140,3,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,350,NA,2,27.412,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","K","E","","W","",2,262,25
"18",1,NA,0,156," 20C",20,143,0,14,4,20,18,0,0,19,176,12,NA,176,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,2,25.909,NA,NA,NA,NA,NA,NA,NA,NA,"D","","C","E","","W","",1,276,25
"19",1,2,0,173," 20C",20,124,0,0,10,21,24,17,21,28,190,6,12,190,2,1,NA,NA,NA,0,0,0,1,NA,"B","F",NA,NA,NA,NA,1,NA,1,NA,NA,1,63,180,0,2,25.909,7,5,5,7,10,15,65,190,"D","R","C","E","L","W","W",2,343,25
"20",1,NA,0,168," 21F",21,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,290,NA,2,545.788,NA,NA,NA,NA,NA,NA,NA,NA,"L","","F","E","","9","",1,364,25
"21",1,NA,0,158," 21F",21,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,998,2,NA,NA,NA,NA,0,0,0,1,NA,"R","",NA,NA,NA,NA,17,NA,1,NA,NA,1,NA,70,NA,2,545.788,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","F","E","","W","",2,276,25
"22",1,NA,0,154," 23D",23,250,0,0,6,24,28,13,0,0,278,1,NA,998,3,NA,NA,NA,NA,0,0,0,1,NA,"R","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,40,NA,2,433.958,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","D","E","","W","",2,257,25
"23",2,NA,0,150," 24E",24,96,0,0,14,25,34,28,21,29,154,11,NA,154,2,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,3,NA,340,NA,2,375.488,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","E","E","","W","",2,270,25
"24",1,NA,0,158," 25F",25,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,320,NA,2,330.093,NA,NA,NA,NA,NA,NA,NA,NA,"L","","F","E","","9","",1,286,25
"25",2,1,0,144," 27F",27,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,12,998,2,1,NA,NA,NA,0,0,0,1,NA,"U","F",NA,NA,NA,NA,1,NA,NA,NA,NA,2,57,998,0,2,314.144,3,2,2,2,1,2,0,134,"Y","D","F","R","E","W","W",1,243,25
"26",2,NA,0,148," 27F",27,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,998,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,998,NA,2,314.144,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","F","H","","W","",2,262,25
"27",1,NA,0,NA," 28H",28,58,0,5,5,3,2,1,0,-47,152,6,NA,152,1,NA,NA,NA,NA,0,0,0,1,NA,"B","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,180,NA,2,910.854,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","H","E","","W","",1,257,25
"28",1,NA,0,154," 28H",28,40,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,152,3,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,0,NA,2,910.854,NA,NA,NA,NA,NA,NA,NA,NA,"R","","H","E","","E","",2,272,25
"29",1,2,0,148," 29K",29,23,0,34,38,23,10,1,0,-57,156,12,0,156,2,3,NA,NA,NA,0,0,0,1,NA,"F","T",NA,NA,NA,NA,1,NA,1,NA,NA,51,31,0,998,2,90.732,NA,NA,NA,NA,NA,NA,NA,NA,"L","P","K","E","D","N","O",1,272,25
"30",1,NA,0,149," 30G",30,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,NA,NA,NA,NA,0,0,0,1,NA,"9","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,NA,NA,2,94.048,NA,NA,NA,NA,NA,NA,NA,NA,"9","","G","9","","9","",1,267,25
"31",1,2,0,151," 31K",31,83,0,0,18,31,30,50,62,129,88,70,9,998,3,2,NA,NA,NA,0,0,0,1,NA,"L","L",NA,NA,NA,NA,1,NA,1,NA,NA,1,1,290,270,2,35.916,2,7,0,0,0,0,-96,128,"Y","Z","K","E","E","W","W",2,249,25
"32",1,NA,0,158," 32F",32,82,0,12,10,9,9,9,8,-35,154,11,NA,154,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,340,NA,2,285.615,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","F","E","","W","",1,277,25
"33",1,NA,0,155," 32F",32,142,0,1,7,15,18,22,3,153,142,2,NA,998,2,NA,NA,NA,NA,0,0,0,1,NA,"R","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,70,NA,2,285.615,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","F","E","","W","",2,272,25
"34",2,3,0,153," 36K",36,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,12,0,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,"F","R",NA,NA,NA,NA,1,NA,1,NA,NA,2,31,350,998,2,49.762,NA,NA,NA,NA,NA,NA,NA,NA,"9","D","K","9","H","9","O",1,320,25
"35",2,NA,0,153," 36K",36,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,7,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,320,NA,2,49.762,NA,NA,NA,NA,NA,NA,NA,NA,"L","","K","E","","E","",2,265,25
"36",1,NA,0,156," 37H",37,39,0,44,4,2,4,3,4,-63,166,12,NA,166,3,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,2,1779.867,NA,NA,NA,NA,NA,NA,NA,NA,"L","","H","E","","E","",1,282,25
"37",1,NA,0,154," 37H",37,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,2,NA,NA,NA,NA,0,0,0,1,NA,"B","",NA,NA,NA,NA,2,NA,1,NA,NA,1,NA,190,NA,2,1779.867,NA,NA,NA,NA,NA,NA,NA,NA,"R","","H","E","","E","",2,265,25
"38",3,2,0,150," 38K",38,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,998,4,NA,NA,NA,NA,0,0,0,1,NA,"T","F",NA,NA,NA,NA,1,NA,1,NA,NA,32,58,998,NA,2,61.268,NA,NA,NA,NA,NA,NA,NA,NA,"D","Y","K","D","9","O","9",1,265,25
"39",1,NA,0,172," 39E",39,36,0,22,4,2,0,0,0,-59,188,12,NA,188,6,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,10,NA,2,82.599,NA,NA,NA,NA,NA,NA,NA,NA,"L","","E","E","","E","",1,303,25
"40",1,NA,0,168," 41G",41,151,0,18,18,19,20,19,18,-13,174,12,NA,174,2,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,0,NA,2,98.294,NA,NA,NA,NA,NA,NA,NA,NA,"D","","G","E","","W","",2,300,25
"41",4,5,0,NA," 45E",45,25,1,57,41,23,14,NA,NA,-201,25,3,NA,998,4,NA,NA,NA,NA,0,0,0,1,NA,"R","L",NA,NA,NA,NA,1,NA,1,NA,NA,51,51,80,NA,2,123.398,NA,NA,NA,NA,NA,NA,NA,NA,"B","P","E","E","A","N","N",2,270,25
"42",1,NA,0,147," 47D",47,126,0,0,1,11,19,22,9,124,224,10,NA,998,2,NA,NA,NA,NA,0,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,300,NA,2,68.205,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","D","E","","W","",1,246,25
